date,target_alloc,action,equity
2012-05-16,0.4,HOLD,3072755894.4757433
2012-05-17,0.4,HOLD,3000237388.2736464
2012-05-18,0.30000000000000004,TRADE,2955785762.5745196
2012-05-21,0.4,TRADE,3030555367.265505
2012-05-22,0.4,HOLD,3026113369.1495323
2012-05-23,0.4,HOLD,3032927158.662807
2012-05-24,0.4,HOLD,3010947072.9866514
2012-05-25,0.4,HOLD,3004149212.4622974
2012-05-29,0.4,HOLD,3048418933.764675
2012-05-30,0.4,HOLD,3018585973.235726
2012-05-31,0.4,HOLD,3001579375.3361287
2012-06-01,0.1,TRADE,2908399889.390797
2012-06-04,0.30000000000000004,TRADE,2914720451.7452517
2012-06-05,0.30000000000000004,HOLD,2926651376.1667333
2012-06-06,0.4,TRADE,2987298009.161882
2012-06-07,0.4,HOLD,2973818601.692156
2012-06-08,0.4,HOLD,3008582079.400694
2012-06-11,0.4,HOLD,2950506673.4663887
2012-06-12,0.4,HOLD,2987085743.7669163
2012-06-13,0.4,HOLD,2963750263.1863585
2012-06-14,0.4,HOLD,2976726631.688039
2012-06-15,0.4,HOLD,3020568071.893759
2012-06-18,1.0,TRADE,3052234807.8985434
2012-06-19,1.0,HOLD,3152781970.6046925
2012-06-20,1.0,HOLD,3164093526.409134
2012-06-21,0.4,TRADE,2927179274.2827697
2012-06-22,1.0,TRADE,2963383945.609373
2012-06-25,0.4,TRADE,2788123420.7128587
2012-06-26,0.4,HOLD,2809606333.4655805
2012-06-27,1.0,TRADE,2830348708.8237176
2012-06-28,0.4,TRADE,2728941461.4186454
2012-06-29,1.0,TRADE,2835426242.9713154
2012-07-02,1.0,HOLD,2858283367.058146
2012-07-03,1.0,HOLD,2926283311.2164664
2012-07-05,1.0,HOLD,2936569017.0555406
2012-07-06,1.0,HOLD,2820569112.3148756
2012-07-09,1.0,HOLD,2811426262.680144
2012-07-10,0.4,TRADE,2725140619.252359
2012-07-11,0.4,HOLD,2710062079.1436152
2012-07-12,0.30000000000000004,TRADE,2678983552.2022557
2012-07-13,1.0,TRADE,2714011542.3339233
2012-07-16,0.8,TRADE,2693511245.329303
2012-07-17,1.0,TRADE,2726314080.090703
2012-07-18,1.0,HOLD,2837592205.808691
2012-07-19,1.0,HOLD,2930134728.7272215
2012-07-20,1.0,HOLD,2817153366.3911014
2012-07-23,0.8,TRADE,2713255932.685021
2012-07-24,0.8,HOLD,2663296702.0704346
2012-07-25,0.7000000000000001,TRADE,2616062650.0497694
2012-07-26,0.8,TRADE,2687871706.4539385
2012-07-27,1.0,TRADE,2850596816.984095
2012-07-30,1.0,HOLD,2833279846.314585
2012-07-31,1.0,HOLD,2834955682.185828
2012-08-01,1.0,HOLD,2807583696.288862
2012-08-02,1.0,HOLD,2777977262.5635715
2012-08-03,1.0,HOLD,2936064446.4174805
2012-08-06,1.0,HOLD,3001980657.3530326
2012-08-07,1.0,HOLD,3076276047.644799
2012-08-08,1.0,HOLD,3071248540.0310707
2012-08-09,1.0,HOLD,3097503302.0138755
2012-08-10,1.0,HOLD,3110351377.026737
2012-08-13,1.0,HOLD,3128785571.6104093
2012-08-14,1.0,HOLD,3133254467.267056
2012-08-15,1.0,HOLD,3155598945.5502944
2012-08-16,1.0,HOLD,3268438560.880646
2012-08-17,1.0,HOLD,3313686129.4042034
